Date,Open,High,Low,Close,Adj Close,Volume
2002-12-31,8332.240234,8361.309570,8242.910156,8341.629883,8341.629883,190390000
2003-01-02,8342.379883,8608.269531,8342.379883,8607.519531,8607.519531,243910000
2003-01-03,8607.379883,8635.490234,8552.870117,8601.690430,8601.690430,234000000
2003-01-06,8602.780273,8800.589844,8602.099609,8773.570313,8773.570313,258040000
2003-01-07,8775.839844,8802.639648,8713.030273,8740.589844,8740.589844,266970000
2003-01-08,8735.929688,8736.070313,8580.099609,8595.309570,8595.309570,255650000
2003-01-09,8596.679688,8787.700195,8596.610352,8776.179688,8776.179688,253560000
2003-01-10,8776.040039,8818.549805,8689.580078,8784.889648,8784.889648,235610000
2003-01-13,8787.830078,8869.290039,8746.969727,8785.980469,8785.980469,231990000
2003-01-14,8787.219727,8843.370117,8746.349609,8842.620117,8842.620117,225130000
2003-01-15,8843.639648,8854.610352,8702.139648,8723.179688,8723.179688,254600000
2003-01-16,8721.120117,8805.519531,8673.049805,8697.870117,8697.870117,230790000
2003-01-17,8695.820313,8695.820313,8559.110352,8586.740234,8586.740234,293830000
2003-01-21,8586.259766,8623.490234,8438.179688,8442.900391,8442.900391,231720000
2003-01-22,8439.540039,8444.610352,8306.589844,8318.730469,8318.730469,265550000
2003-01-23,8320.719727,8386.610352,8255.860352,8369.469727,8369.469727,274990000
2003-01-24,8367.889648,8367.889648,8112.430176,8131.009766,8131.009766,267450000
2003-01-27,8128.540039,8150.339844,7957.819824,7989.560059,7989.560059,272190000
2003-01-28,7991.069824,8114.000000,7991.069824,8088.839844,8088.839844,265270000
2003-01-29,8087.950195,8158.020020,7945.000000,8110.709961,8110.709961,297990000
2003-01-30,8109.140137,8141.089844,7938.620117,7945.129883,7945.129883,259940000
2003-01-31,7939.720215,8089.660156,7917.160156,8053.810059,8053.810059,307420000
2003-02-03,8053.740234,8152.080078,8053.740234,8109.819824,8109.819824,221770000
2003-02-04,8104.609863,8104.609863,7934.770020,8013.290039,8013.290039,228700000
2003-02-05,8014.450195,8152.529785,7967.819824,7985.180176,7985.180176,229550000
2003-02-06,7981.950195,7991.959961,7881.299805,7929.299805,7929.299805,218870000
2003-02-07,7932.450195,8001.080078,7830.020020,7864.229980,7864.229980,220080000
2003-02-10,7865.740234,7933.680176,7801.290039,7920.109863,7920.109863,224630000
2003-02-11,7920.930176,7985.520020,7806.500000,7843.109863,7843.109863,227230000
2003-02-12,7836.359863,7854.620117,7753.709961,7758.169922,7758.169922,205990000
2003-02-13,7756.549805,7781.890137,7628.990234,7749.870117,7749.870117,238130000
2003-02-14,7750.899902,7908.799805,7725.319824,7908.799805,7908.799805,237900000
2003-02-18,7909.299805,8076.020020,7909.299805,8041.149902,8041.149902,225050000
2003-02-19,8033.799805,8043.109863,7935.270020,8000.600098,8000.600098,199120000
